R,G,B,Type
51,39,198,1
205,203,85,1
77,20,206,1
119,249,124,1
111,221,61,1
227,61,119,1
178,174,0,1
240,241,152,1
242,62,194,1
192,157,150,1
106,5,46,0
239,180,203,1
19,70,192,1
134,119,201,1
56,148,41,1
17,164,100,1
120,215,70,1
26,108,142,1
217,173,69,1
221,61,39,1
211,81,34,1
208,152,4,1
56,137,239,1
87,79,144,1
145,6,251,1
212,239,66,1
136,41,144,1
185,172,67,1
51,125,237,1
212,221,158,1
15,152,1,1
202,14,233,1
135,236,141,1
118,49,30,0
48,240,174,1
124,107,214,1
80,29,198,1
253,255,203,1
209,106,49,1
6,236,197,1
87,12,228,1
3,202,96,1
9,34,71,0
61,42,111,0
156,111,58,1
248,79,90,1
9,23,1,0
175,248,223,1
15,96,44,0
125,9,60,0
189,129,13,1
225,4,157,1
137,44,177,1
75,26,237,1
116,128,191,1
155,218,106,1
185,25,230,1
107,99,165,1
188,36,215,1
10,72,44,0
142,133,27,1
86,221,87,1
90,255,45,1
94,98,50,0
68,57,26,0
103,87,235,1
224,28,64,1
25,44,235,1
44,129,117,1
170,145,150,1
173,185,69,1
145,188,176,1
122,213,164,1
160,71,230,1
235,202,4,1
227,66,11,1
108,66,52,0
44,178,87,1
184,167,145,1
30,109,110,0
190,125,67,1
94,173,191,1
26,42,42,0
229,174,198,1
25,48,234,1
82,116,52,0
247,162,172,1
49,240,107,1
235,170,37,1
227,160,5,1
188,126,109,1
194,99,206,1
249,19,215,1
203,0,17,1
81,191,173,1
232,191,35,1
228,137,198,1
216,137,148,1
227,232,89,1
141,177,128,1
208,145,5,1
100,240,45,1
78,105,15,0
152,22,115,1
23,65,186,1
185,50,189,1
254,120,163,1
241,113,127,1
223,156,57,1
57,255,7,1
140,189,27,1
38,20,220,1
55,205,189,1
151,6,45,1
65,51,47,0
204,151,12,1
247,30,254,1
6,153,148,1
43,251,249,1
226,94,232,1
224,227,98,1
44,85,38,0
254,88,98,1
30,76,88,0
96,120,80,0
130,178,80,1
101,36,97,0
75,110,4,0
60,135,50,1
219,136,104,1
87,72,59,0
57,128,183,1
74,201,127,1
155,181,10,1
166,138,252,1
166,67,156,1
187,87,100,1
237,11,18,1
157,77,180,1
166,40,93,1
35,15,134,1
154,96,160,1
179,228,22,1
120,27,65,0
172,93,228,1
141,91,37,1
94,178,19,1
122,51,115,0
136,130,224,1
21,238,207,1
127,133,241,1
69,184,101,1
143,225,151,1
174,58,136,1
191,145,228,1
168,212,238,1
237,93,104,1
183,115,84,1
5,16,242,1
105,189,85,1
19,74,47,0
198,227,235,1
8,26,84,0
224,114,99,1
0,108,51,0
238,61,142,1
117,232,105,1
240,109,198,1
254,157,72,1
73,229,124,1
173,19,29,1
111,222,172,1
145,95,215,1
234,38,101,1
147,151,57,1
157,46,233,1
104,60,112,0
175,220,36,1
71,162,199,1
54,132,245,1
228,132,175,1
76,42,94,0
178,175,179,1
74,39,117,0
52,206,191,1
221,69,254,1
206,155,142,1
91,7,62,0
230,88,34,1
6,216,129,1
59,75,36,0
242,153,137,1
88,13,225,1
4,205,241,1
43,254,119,1
130,67,32,1
111,21,186,1
129,175,9,1
186,7,180,1
137,156,215,1
99,87,240,1
239,133,105,1
228,160,15,1
254,133,234,1
151,121,201,1
5,198,106,1
13,65,236,1
181,8,238,1
229,140,87,1
128,34,156,1
30,162,168,1
148,136,98,1
204,174,204,1
186,98,209,1
30,40,251,1
240,214,217,1
10,124,82,0
233,119,144,1
202,95,51,1
153,53,99,1
55,46,89,0
27,206,247,1
172,180,219,1
233,219,137,1
207,141,250,1
2,43,47,0
167,78,137,1
44,117,115,0
121,27,237,1
169,82,1,1
79,43,189,1
99,44,130,1
42,210,84,1
22,246,146,1
27,58,207,1
146,187,241,1
222,146,174,1
137,93,195,1
65,220,143,1
7,29,115,0
122,132,72,1
77,253,79,1
30,144,41,1
204,87,92,1
35,73,27,0
228,158,248,1
29,208,198,1
90,58,83,0
132,234,210,1
129,37,1,1
188,19,150,1
85,103,237,1
188,212,235,1
44,240,178,1
84,0,93,0
221,89,85,1
20,36,240,1
35,249,206,1
81,138,56,1
6,67,127,0
175,157,158,1
40,221,86,1
167,182,58,1
90,73,3,0
139,237,216,1
61,168,79,1
32,136,254,1
19,160,200,1
96,222,151,1
142,113,209,1
110,187,180,1
94,5,124,0
143,3,57,1
33,149,104,1
119,68,127,0
129,157,49,1
21,219,77,1
156,23,65,1
189,253,8,1
206,105,120,1
65,212,224,1
80,232,59,1
117,211,77,1
208,235,143,1
197,247,42,1
176,186,30,1
100,211,54,1
249,85,113,1
28,202,47,1
108,191,79,1
232,219,16,1
4,20,251,1
85,119,67,0
153,211,97,1
180,243,238,1
251,252,21,1
56,254,171,1
79,215,176,1
21,216,215,1
231,40,57,1
32,150,212,1
201,165,69,1
128,141,108,1
90,149,128,1
102,45,130,1
194,222,64,1
1,218,55,1
200,39,42,1
121,209,93,1
39,206,228,1
15,134,92,1
209,221,152,1
62,2,3,0
147,141,194,1
26,233,64,1
113,65,135,1
163,7,7,1
46,150,132,1
135,174,213,1
188,103,220,1
199,137,123,1
94,100,242,1
159,96,228,1
61,199,66,1
39,33,249,1
216,190,27,1
208,154,159,1
68,203,184,1
240,217,33,1
158,129,39,1
24,119,61,0
231,22,12,1
74,144,151,1
45,211,91,1
199,44,114,1
78,59,52,0
101,197,234,1
171,1,155,1
58,125,36,0
98,166,156,1
103,251,151,1
139,71,32,1
101,35,191,1
229,14,223,1
79,201,90,1
87,96,91,0
147,75,11,1
57,7,1,0
22,194,174,1
108,104,209,1
54,87,176,1
26,56,136,1
252,102,200,1
141,237,27,1
243,3,73,1
249,52,91,1
63,0,229,1
97,5,244,1
10,150,195,1
22,153,30,1
178,166,194,1
97,63,197,1
193,143,0,1
166,177,148,1
191,161,9,1
43,100,195,1
93,98,14,0
164,143,32,1
159,241,60,1
142,148,238,1
93,158,175,1
210,8,26,1
250,74,45,1
153,115,196,1
226,190,152,1
29,155,162,1
54,76,179,1
216,136,54,1
84,145,192,1
108,197,97,1
110,135,72,1
65,95,205,1
178,165,26,1
194,177,167,1
71,176,113,1
182,131,248,1
23,126,201,1
238,22,238,1
34,127,189,1
131,237,219,1
29,183,104,1
