views,likes,dislikes,comment_count,type
748374,57527,2966,15954,0
2418783,97185,6146,12703,1
3191434,146033,5339,8181,1
343168,10172,666,2146,0
2095731,132235,1989,17518,1
119180,9763,511,1434,0
2103417,15993,2445,1970,1
817732,23663,778,3432,0
826059,3543,119,340,0
256426,12654,1363,2368,0
81377,655,25,177,0
104578,1576,303,1279,0
687582,114188,1333,8371,0
544770,7848,1171,3981,0
207532,7473,246,2120,0
75752,9419,52,1230,0
295639,8011,638,1256,0
78044,5398,53,385,0
97007,11963,36,2211,0
223871,8421,191,1214,0
115791,9586,75,2800,0
224019,3585,138,208,0
144418,11758,89,1014,0
145921,1707,578,673,0
33980,4884,52,234,0
223077,8676,193,1392,0
80705,4687,41,437,0
120727,9033,224,1346,0
27943,156,36,83,0
50867,715,238,246,0
98378,4035,495,486,0
26000,119,69,0,0
17158531,787419,43420,125882,1
67661,3781,84,626,0
141148,1661,70,236,0
98966,2486,184,532,0
288922,7515,792,2111,0
13917,1318,24,76,0
605932,38397,1387,3412,0
57169,6927,161,565,0
60506,5389,106,455,0
34785,308,26,413,0
945,7,5,8,0
328330,15186,15448,7484,0
321053,4451,1772,895,0
1456472,33505,1660,2160,1
69844,3417,33,160,0
956169,2017,2425,1447,0
4569,35,18,19,0
2045386,45406,2842,8309,1
1842393,99086,1339,11800,1
6473,205,6,15,0
1044813,15397,838,1100,0
9548677,190083,15015,11473,1
197062,7250,217,456,0
1496225,16116,236,605,1
162597,5734,106,525,0
9132,21,8,64,0
7265,89,8,22,0
291597,8209,344,1062,0
290801,10237,377,1016,0
5304,52,13,68,0
812516,26917,1979,4998,0
2642930,115795,3055,6410,1
105058,493,54,347,0
537715,8231,413,970,0
2744430,115426,1110,6541,1
3358068,120876,8279,6408,1
4732,203,6,33,0
7224515,55681,10247,9479,1
33523622,1634124,21082,85067,1
52591,2233,187,255,0
75822,2978,147,243,0
43715,1550,109,1031,0
303956,18603,585,1745,0
238643,2429,5381,2325,0
237307,1896,74,260,0
1282413,37669,1732,1691,1
1497519,15504,353,1084,1
148226,355,47,178,0
484185,23296,1184,1858,0
300617,8133,2693,2911,0
92523,2323,40,134,0
7524,67,19,56,0
103927,3571,278,399,0
177707,6271,88,275,0
1751064,16430,945,1231,1
46746,439,66,55,0
746092,34839,537,2541,0
836830,82320,1279,7998,0
67429,438,23,23,0
2237404,72593,1830,3501,1
45455,2282,35,17,0
2063667,98804,11682,11443,1
2736733,58967,3492,7915,1
165698,8599,361,930,0
836544,40195,373,976,0
284666,16396,81,949,0
3371669,202676,3394,20086,1
195685,14338,171,1070,0
1098897,43875,1326,4702,0
893462,22326,833,943,0
225286,1731,193,206,0
264793,3283,853,0,0
5476737,286268,4083,12254,1
3578502,307435,2573,12248,1
304926,3305,130,275,0
247319,10138,153,639,0
296434,3327,142,377,0
125962,5048,139,369,0
419341,53572,168,3083,0
138988,7999,84,612,0
1774018,88417,1002,7686,1
1575525,52829,1524,5864,1
626688,25115,499,1392,0
219030,14303,398,1099,0
493662,7693,181,388,0
1017803,25122,628,1504,0
139955,4417,217,457,0
362009,5505,2356,1264,0
294387,15247,385,976,0
844653,11616,313,1518,0
1315873,9312,584,769,1
188003,9091,135,2814,0
1624771,84426,1130,5981,1
125970,935,507,262,0
205869,11198,120,446,0
98422,2926,106,798,0
426078,19323,245,945,0
33315,1365,24,91,0
1231518,32648,6221,9288,1
154872,7683,164,1734,0
72626,3652,120,219,0
366180,4364,4448,1997,0
264511,11736,532,743,0
192609,1345,24,126,0
95944,1354,181,117,0
154494,2163,147,211,0
53321,443,131,106,0
95085,909,52,193,0
91776,4604,46,357,0
764716,35765,483,1159,0
135337,7158,89,318,0
77630,1991,83,208,0
378750,5642,146,675,0
151709,9210,71,1103,0
175852,15909,200,852,0
5149,242,0,54,0
1905487,65854,2442,4490,1
9632678,810895,16139,59473,1
476389,16106,950,2077,0
754558,11985,1356,1757,0
762616,20159,336,899,0
199429,10175,66,539,0
691229,31892,197,1404,0
6412,49,0,2,0
108618,4989,58,274,0
79306,3809,127,670,0
812007,5894,951,851,0
55398,1170,22,336,0
773,2,0,0,0
581288,5075,725,1780,0
99619,3959,158,335,0
4850,22,1,1,0
226088,10844,302,555,0
651036,23338,442,1101,0
451356,3454,284,623,0
46571,4250,16,408,0
28539,681,25,45,0
12609,40,79,17,0
30021,569,42,44,0
471266,23634,460,1714,0
1073134,47793,1886,5358,0
18573,420,10,236,0
250193,5748,332,1197,0
1827,3,0,2,0
2457408,2707,200,209,1
51143,258,5,10,0
27010,1666,36,150,0
122669,5723,55,263,0
358597,1211,72,593,0
56012,6243,106,414,0
6148,121,3,19,0
1390440,86207,1775,710,1
244532,633,174,765,0
82087,998,93,289,0
359120,15130,223,1143,0
33768,426,88,550,0
38068,2195,28,154,0
1277364,56867,2148,25326,1
1498866,67227,1473,4645,1
280065,20289,38,939,0
2259,0,0,0,0
470191,4037,430,1553,0
16305,147,13,47,0
169511,57,59,79,0
160477,8388,691,950,0
704363,16352,224,841,0
130778,5684,53,737,0
560569,29990,341,1788,0
462490,14132,795,666,0
295217,4854,1439,1267,0
1525400,63995,896,4697,1
1836419,28647,17815,7860,1
977285,87615,391,5575,0
390964,3687,1273,1224,0
1611093,58474,837,3294,1
983365,60983,578,3837,0
2765121,35529,1705,2388,1
3701763,56561,2495,11608,1
829132,25109,316,3428,0
391049,5939,106,385,0
137003,580,262,343,0
891912,122347,455,7459,0
175539,17130,264,1747,0
14565,478,13,67,0
125645,16754,65,1373,0
2188590,88099,7150,24225,1
394709,25188,281,1345,0
863116,20518,1030,4272,0
200235,1197,108,627,0
4632016,131784,9892,18284,1
122426,6310,298,1624,0
758998,19138,2272,2873,0
145100,5198,74,657,0
2671756,12699,505,1010,1
52743,4553,33,550,0
121681,6095,61,731,0
11404,62,26,20,0
419965,9805,1337,5457,0
137749,1145,61,131,0
772235,15301,1229,3328,0
297147,10410,110,665,0
126438,12229,86,1865,0
2285136,180284,3399,11700,1
206319,11131,209,553,0
60564,975,66,106,0
373457,16433,194,5220,0
4326684,167696,6730,9265,1
137860,1950,64,136,0
4009,61,6,14,0
3006,75,4,10,0
635985,20721,2417,4111,0
130893,8177,220,349,0
46954,87,18,28,0
208155,11162,569,954,0
190669,5162,131,1151,0
2509626,144816,2262,18893,1
20778,1440,24,437,0
30438,143,42,220,0
94694,136,11,31,0
211683,2279,545,1838,0
210393,8996,290,4043,0
63780,831,12,301,0
18438,563,16,29,0
1099318,26813,1047,3827,0
71661,6310,18,300,0
935879,5715,514,3442,0
131153,7129,78,265,0
84149,276,128,172,0
34138,4303,29,1399,0
144937,5246,171,280,0
306550,16612,160,1311,0
328325,19970,104,3336,0
2472569,17959,2863,2690,1
341074,10915,1915,1313,0
113963,11576,155,635,0
21544,83,74,62,0
93322,398,43,497,0
68084,2530,88,117,0
279092,8339,315,2371,0
